,precision,recall,f1-score,support
0.0,0.9743589743589743,0.9382716049382716,0.9559748427672956,81.0
1.0,0.9264705882352942,0.9692307692307692,0.9473684210526316,65.0
accuracy,0.952054794520548,0.952054794520548,0.952054794520548,0.952054794520548
macro avg,0.9504147812971342,0.9537511870845203,0.9516716319099636,146.0
weighted avg,0.9530388024545963,0.952054794520548,0.9521432166614522,146.0
