,precision,recall,f1-score,support
0.0,1.0,0.887956357532522,0.9406534785507891,4766.0
1.0,0.0,0.0,0.0,0.0
accuracy,0.887956357532522,0.887956357532522,0.887956357532522,0.887956357532522
macro avg,0.5,0.443978178766261,0.47032673927539453,4766.0
weighted avg,1.0,0.887956357532522,0.9406534785507891,4766.0
