,precision,recall,f1-score,support
0.0,0.9523809523809523,0.9876543209876543,0.9696969696969696,81.0
1.0,0.9838709677419355,0.9384615384615385,0.9606299212598426,65.0
accuracy,0.9657534246575342,0.9657534246575342,0.9657534246575342,0.9657534246575342
macro avg,0.9681259600614439,0.9630579297245964,0.9651634454784062,146.0
weighted avg,0.9664004797676915,0.9657534246575342,0.9656602700503035,146.0
